movement_id,movement_date,material_id,warehouse,movement_type,quantity
INV-00000001,2025-04-04,MAT-008,WH-001,Return,3265
INV-00000002,2024-09-16,MAT-002,WH-002,Adjustment,4762
INV-00000003,2025-08-25,MAT-008,WH-002,Adjustment,2506
INV-00000004,2026-02-17,MAT-008,WH-003,Production Consumption,1680
INV-00000005,2026-04-07,MAT-008,WH-002,Purchase,1323
INV-00000006,2025-10-07,MAT-008,WH-003,Production Consumption,4371
INV-00000007,2026-06-08,MAT-007,WH-003,Purchase,550
INV-00000008,2025-08-04,MAT-007,WH-001,Production Consumption,2738
INV-00000009,2026-03-15,MAT-010,WH-003,Return,3503
INV-00000010,2026-06-06,MAT-004,WH-003,Sales,3937
INV-00000011,2025-05-27,MAT-001,WH-001,Sales,3666
INV-00000012,2025-08-31,MAT-007,WH-003,Return,937
INV-00000013,2026-08-07,MAT-009,WH-003,Return,3717
INV-00000014,2024-11-04,MAT-003,WH-003,Return,154
INV-00000015,2025-05-04,MAT-003,WH-003,Return,2827
INV-00000016,2025-10-07,MAT-004,WH-002,Purchase,3347
INV-00000017,2025-12-16,MAT-004,WH-001,Sales,3765
INV-00000018,2026-08-22,MAT-010,WH-003,Production Consumption,3579
INV-00000019,2025-09-15,MAT-002,WH-002,Production Consumption,3289
INV-00000020,2025-12-14,MAT-009,WH-002,Return,587
INV-00000021,2025-07-12,MAT-008,WH-003,Return,4061
INV-00000022,2024-09-01,MAT-004,WH-003,Adjustment,1149
INV-00000023,2025-04-04,MAT-007,WH-001,Production Consumption,1297
INV-00000024,2025-03-16,MAT-007,WH-001,Sales,3854
INV-00000025,2025-08-10,MAT-009,WH-002,Purchase,4183
INV-00000026,2025-08-11,MAT-008,WH-003,Return,2534
INV-00000027,2024-11-04,MAT-009,WH-003,Purchase,2545
INV-00000028,2025-12-10,MAT-007,WH-001,Return,136
INV-00000029,2025-09-28,MAT-004,WH-003,Purchase,4776
INV-00000030,2024-11-26,MAT-010,WH-002,Adjustment,1558
INV-00000031,2025-04-04,MAT-002,WH-001,Sales,52
INV-00000032,2026-02-19,MAT-007,WH-002,Sales,341
INV-00000033,2026-02-25,MAT-007,WH-002,Return,1855
INV-00000034,2024-12-07,MAT-010,WH-002,Purchase,5
INV-00000035,2026-02-20,MAT-001,WH-001,Purchase,3563
INV-00000036,2025-05-31,MAT-008,WH-001,Adjustment,1244
INV-00000037,2026-04-03,MAT-005,WH-002,Return,4641
INV-00000038,2025-12-10,MAT-008,WH-001,Return,3115
INV-00000039,2025-08-08,MAT-005,WH-003,Adjustment,1218
INV-00000040,2025-08-27,MAT-010,WH-003,Sales,2362
INV-00000041,2025-07-22,MAT-003,WH-002,Purchase,12
INV-00000042,2026-02-12,MAT-004,WH-003,Production Consumption,1037
INV-00000043,2024-12-27,MAT-010,WH-003,Return,681
INV-00000044,2024-10-07,MAT-004,WH-001,Purchase,4151
INV-00000045,2026-07-16,MAT-007,WH-003,Sales,1009
INV-00000046,2025-12-08,MAT-003,WH-001,Purchase,1971
INV-00000047,2026-06-22,MAT-008,WH-002,Sales,1550
INV-00000048,2026-07-19,MAT-008,WH-002,Production Consumption,2894
INV-00000049,2025-01-22,MAT-003,WH-003,Return,447
INV-00000050,2026-08-05,MAT-003,WH-003,Return,1103
INV-00000051,2026-03-10,MAT-003,WH-001,Adjustment,4593
INV-00000052,2026-02-17,MAT-002,WH-002,Purchase,4583
INV-00000053,2025-09-22,MAT-010,WH-003,Purchase,1255
INV-00000054,2025-07-06,MAT-010,WH-003,Return,4330
INV-00000055,2024-10-12,MAT-006,WH-002,Adjustment,3291
INV-00000056,2024-11-16,MAT-002,WH-003,Purchase,1123
INV-00000057,2026-03-08,MAT-008,WH-002,Purchase,1951
INV-00000058,2025-07-13,MAT-005,WH-001,Return,3134
INV-00000059,2025-12-30,MAT-002,WH-003,Purchase,562
INV-00000060,2024-09-26,MAT-010,WH-002,Adjustment,625
INV-00000061,2026-04-01,MAT-008,WH-002,Production Consumption,3506
INV-00000062,2026-05-23,MAT-009,WH-002,Adjustment,4003
INV-00000063,2026-08-14,MAT-008,WH-001,Sales,160
INV-00000064,2026-03-15,MAT-006,WH-002,Sales,4432
INV-00000065,2026-07-05,MAT-008,WH-001,Purchase,1647
INV-00000066,2025-07-09,MAT-010,WH-001,Return,3119
INV-00000067,2026-04-04,MAT-003,WH-001,Sales,1845
INV-00000068,2025-02-24,MAT-002,WH-003,Production Consumption,308
INV-00000069,2025-12-14,MAT-010,WH-001,Sales,4220
INV-00000070,2024-11-19,MAT-006,WH-003,Purchase,3729
INV-00000071,2025-01-17,MAT-010,WH-002,Return,648
INV-00000072,2026-05-01,MAT-008,WH-003,Return,1583
INV-00000073,2026-06-12,MAT-001,WH-002,Adjustment,3954
INV-00000074,2026-02-21,MAT-008,WH-001,Purchase,4940
INV-00000075,2025-11-12,MAT-001,WH-002,Production Consumption,1039
INV-00000076,2025-07-10,MAT-007,WH-001,Return,173
INV-00000077,2026-06-12,MAT-010,WH-002,Purchase,2324
INV-00000078,2026-08-16,MAT-007,WH-002,Sales,4296
INV-00000079,2025-04-06,MAT-005,WH-003,Adjustment,1410
INV-00000080,2024-11-11,MAT-005,WH-002,Production Consumption,3450
INV-00000081,2026-01-23,MAT-010,WH-001,Production Consumption,448
INV-00000082,2025-03-13,MAT-006,WH-001,Purchase,2165
INV-00000083,2025-03-17,MAT-007,WH-003,Production Consumption,747
INV-00000084,2024-12-09,MAT-003,WH-001,Adjustment,1030
INV-00000085,2026-05-26,MAT-001,WH-002,Adjustment,4772
INV-00000086,2024-10-02,MAT-005,WH-001,Sales,2053
INV-00000087,2026-06-29,MAT-004,WH-001,Sales,357
INV-00000088,2026-07-28,MAT-004,WH-001,Adjustment,321
INV-00000089,2024-08-25,MAT-003,WH-002,Adjustment,3502
INV-00000090,2025-07-21,MAT-009,WH-003,Purchase,3725
INV-00000091,2026-02-07,MAT-006,WH-002,Adjustment,3409
INV-00000092,2025-03-09,MAT-004,WH-001,Purchase,2717
INV-00000093,2026-04-12,MAT-010,WH-003,Sales,2986
INV-00000094,2025-07-01,MAT-004,WH-003,Adjustment,2538
INV-00000095,2025-07-05,MAT-004,WH-003,Adjustment,2697
INV-00000096,2026-06-17,MAT-010,WH-001,Production Consumption,336
INV-00000097,2025-03-25,MAT-008,WH-001,Purchase,2099
INV-00000098,2025-03-10,MAT-008,WH-002,Sales,4143
INV-00000099,2025-07-23,MAT-004,WH-003,Sales,4112
INV-00000100,2025-01-14,MAT-002,WH-003,Production Consumption,4958
INV-00000101,2025-07-16,MAT-006,WH-002,Return,3459
INV-00000102,2026-01-10,MAT-009,WH-003,Return,2862
INV-00000103,2025-08-08,MAT-003,WH-001,Return,2291
INV-00000104,2025-06-11,MAT-010,WH-003,Purchase,3117
INV-00000105,2026-01-17,MAT-007,WH-002,Sales,2569
INV-00000106,2026-08-25,MAT-002,WH-001,Return,619
INV-00000107,2025-07-11,MAT-008,WH-002,Production Consumption,2884
INV-00000108,2025-06-07,MAT-002,WH-001,Return,3083
INV-00000109,2025-10-29,MAT-005,WH-003,Sales,245
INV-00000110,2024-09-26,MAT-005,WH-001,Sales,2243
INV-00000111,2026-07-29,MAT-008,WH-001,Return,3755
INV-00000112,2025-07-10,MAT-003,WH-003,Return,3037
INV-00000113,2025-01-28,MAT-005,WH-001,Purchase,2465
INV-00000114,2026-07-14,MAT-005,WH-002,Purchase,492
INV-00000115,2024-09-26,MAT-008,WH-003,Purchase,3619
INV-00000116,2026-07-19,MAT-004,WH-003,Sales,2225
INV-00000117,2025-04-29,MAT-007,WH-001,Adjustment,2317
INV-00000118,2025-10-26,MAT-010,WH-003,Purchase,2919
INV-00000119,2025-06-21,MAT-003,WH-001,Return,4815
INV-00000120,2025-06-21,MAT-004,WH-002,Sales,3584
INV-00000121,2025-04-21,MAT-002,WH-002,Sales,1250
INV-00000122,2025-01-30,MAT-003,WH-002,Adjustment,3922
INV-00000123,2025-01-15,MAT-002,WH-003,Return,4065
