maintenance_id,machine_id,maintenance_date,maintenance_type,technician_id,downtime_minutes,maintenance_cost,description
MAIN-0000001,M-013,2025-07-22,Preventive,EMP-00120,430,77798.43,Up western accept ever.
MAIN-0000002,M-002,2025-11-30,Emergency,EMP-00346,335,25107.94,Trial contain recently buy model.
MAIN-0000003,M-006,2026-07-05,Emergency,EMP-00273,423,8736.67,Section above business various two draw.
MAIN-0000004,M-014,2026-04-14,Corrective,EMP-00199,514,90480.06,About car daughter subject west season hundred.
MAIN-0000005,M-005,2026-06-22,Preventive,EMP-00383,68,86362.17,Happy south understand.
MAIN-0000006,M-011,2024-11-17,Corrective,EMP-00095,340,76651.05,Tough wonder describe start check point.
MAIN-0000007,M-005,2026-04-16,Corrective,EMP-00416,120,57280.13,Activity us necessary style.
MAIN-0000008,M-006,2026-01-19,Preventive,EMP-00120,45,18569.64,With nation free sing.
MAIN-0000009,M-009,2025-10-24,Preventive,EMP-00480,116,26996.54,Culture quite myself close five cultural.
MAIN-0000010,M-003,2025-07-13,Emergency,EMP-00362,157,60298.32,Live same police both group summer reduce your.
MAIN-0000011,M-015,2025-08-11,Emergency,EMP-00485,420,12447.0,Agent drive leave agent fine message hit.
MAIN-0000012,M-004,2025-08-08,Corrective,EMP-00133,256,80224.24,Team until catch even sometimes.
MAIN-0000013,M-011,2025-12-06,Preventive,EMP-00491,405,33598.47,East late edge true look whom.
MAIN-0000014,M-016,2025-01-18,Corrective,EMP-00499,533,16590.11,Dinner bank already section would special.
MAIN-0000015,M-017,2025-10-25,Emergency,EMP-00131,240,73109.34,Test production budget which agreement meeting discover.
MAIN-0000016,M-012,2026-06-12,Emergency,EMP-00434,352,81481.2,Between debate message production.
MAIN-0000017,M-006,2025-02-01,Emergency,EMP-00263,471,78314.58,Write program parent whatever goal change certainly.
MAIN-0000018,M-006,2026-08-16,Preventive,EMP-00091,170,49291.43,Baby decide hope project.
MAIN-0000019,M-019,2025-07-03,Emergency,EMP-00161,203,5495.41,Bill news economy per center.
MAIN-0000020,M-019,2025-05-14,Emergency,EMP-00471,438,29752.72,Activity system contain air knowledge their.
MAIN-0000021,M-011,2024-12-25,Emergency,EMP-00035,64,52619.58,Recently professional human those his include the.
MAIN-0000022,M-007,2025-08-24,Preventive,EMP-00115,89,57074.42,Education police anything feeling.
MAIN-0000023,M-019,2024-10-26,Emergency,EMP-00175,459,76277.99,Between couple attention.
MAIN-0000024,M-015,2025-06-07,Corrective,EMP-00271,444,92101.79,Local rest trip ground.
MAIN-0000025,M-016,2026-07-27,Corrective,EMP-00461,421,61617.12,Save cup nice while president manager old system.
MAIN-0000026,M-006,2025-11-22,Corrective,EMP-00330,254,87827.16,Claim anything walk kind serve performance exist.
MAIN-0000027,M-014,2026-03-19,Preventive,EMP-00175,89,77892.18,Machine hear ready create direction radio style.
MAIN-0000028,M-004,2025-12-29,Preventive,EMP-00395,329,73277.88,Treatment house stage art believe.
MAIN-0000029,M-006,2025-02-26,Preventive,EMP-00179,293,67553.15,Themselves learn positive after approach also easy.
MAIN-0000030,M-015,2025-11-11,Emergency,EMP-00085,527,29031.22,Issue throw message production investment.
MAIN-0000031,M-015,2024-12-03,Emergency,EMP-00395,272,63481.24,Available top apply.
MAIN-0000032,M-007,2025-12-30,Emergency,EMP-00181,71,33570.88,Party nor stuff share family remain budget.
MAIN-0000033,M-015,2025-12-23,Corrective,EMP-00357,582,68889.4,Help hear left amount course trade nor.
MAIN-0000034,M-001,2025-09-23,Emergency,EMP-00238,568,8542.79,Expert particular herself head outside say.
MAIN-0000035,M-019,2025-02-01,Emergency,EMP-00079,313,96812.14,Positive charge prevent attack high character accept.
MAIN-0000036,M-018,2025-08-08,Emergency,EMP-00318,313,92881.41,Design trip happen finally minute way do.
MAIN-0000037,M-011,2026-03-13,Emergency,EMP-00101,262,72433.79,Table tonight challenge school.
MAIN-0000038,M-019,2026-06-15,Corrective,EMP-00256,285,42520.77,General six ready agreement case ten.
MAIN-0000039,M-002,2026-07-17,Emergency,EMP-00368,310,78786.65,Only open agreement speech drive.
MAIN-0000040,M-016,2026-01-03,Corrective,EMP-00083,279,60435.03,None suggest sure road high society probably.
MAIN-0000041,M-009,2024-09-30,Emergency,EMP-00052,134,54597.24,Buy catch investment foot front.
MAIN-0000042,M-018,2025-12-06,Preventive,EMP-00483,565,98499.31,Situation cause last himself house.
MAIN-0000043,M-016,2026-07-24,Preventive,EMP-00462,37,99614.03,Different half color though street.
MAIN-0000044,M-004,2025-12-05,Emergency,EMP-00142,502,68163.65,Phone building expect mouth walk fill commercial.
MAIN-0000045,M-010,2026-01-24,Corrective,EMP-00257,131,89700.83,Ready outside mind.
MAIN-0000046,M-001,2025-01-04,Emergency,EMP-00189,225,57951.21,Change mission lawyer gas watch.
MAIN-0000047,M-002,2025-11-15,Preventive,EMP-00408,54,60510.34,Leave part business society ahead big body.
MAIN-0000048,M-016,2025-08-19,Preventive,EMP-00057,35,9278.1,Instead hair the though control goal.
