usage_id,production_id,material_id,quantity_used,unit_cost,usage_date
USE-00000001,PROD-00005744,MAT-007,191.44,197.59,2024-09-08
USE-00000002,PROD-00252625,MAT-005,807.07,449.88,2026-05-01
USE-00000003,PROD-00044735,MAT-008,109.04,172.2,2026-08-17
USE-00000004,PROD-00139811,MAT-008,515.12,91.46,2025-08-02
USE-00000005,PROD-00139037,MAT-007,673.54,123.0,2025-05-06
USE-00000006,PROD-00127659,MAT-010,993.3,226.48,2025-09-05
USE-00000007,PROD-00015414,MAT-004,866.63,69.57,2025-07-04
USE-00000008,PROD-00115416,MAT-010,930.75,320.84,2025-03-03
USE-00000009,PROD-00073664,MAT-002,534.45,489.56,2024-09-16
USE-00000010,PROD-00124211,MAT-003,454.62,315.07,2024-08-27
USE-00000011,PROD-00068085,MAT-003,993.46,222.29,2025-11-03
USE-00000012,PROD-00026974,MAT-003,815.13,239.89,2024-10-27
USE-00000013,PROD-00212318,MAT-005,322.03,208.27,2026-05-21
USE-00000014,PROD-00182841,MAT-010,659.98,363.24,2025-10-18
USE-00000015,PROD-00237180,MAT-007,349.64,324.59,2025-04-15
USE-00000016,PROD-00198403,MAT-006,818.5,377.43,2025-10-10
USE-00000017,PROD-00048504,MAT-008,507.1,123.88,2025-11-01
USE-00000018,PROD-00047240,MAT-007,437.58,248.02,2025-10-22
USE-00000019,PROD-00215978,MAT-009,301.23,83.45,2026-02-16
USE-00000020,PROD-00185330,MAT-007,147.56,123.46,2025-04-09
USE-00000021,PROD-00063272,MAT-007,567.73,237.58,2026-01-16
USE-00000022,PROD-00053490,MAT-009,88.51,382.99,2025-12-12
USE-00000023,PROD-00221830,MAT-002,133.94,475.37,2026-05-02
USE-00000024,PROD-00059876,MAT-010,196.65,108.54,2026-08-21
USE-00000025,PROD-00142099,MAT-002,99.87,358.29,2026-05-19
USE-00000026,PROD-00233616,MAT-008,739.81,88.32,2024-12-18
USE-00000027,PROD-00175674,MAT-004,193.4,53.88,2026-06-26
USE-00000028,PROD-00025887,MAT-009,231.55,385.24,2024-08-31
USE-00000029,PROD-00083590,MAT-002,129.15,357.65,2026-06-26
USE-00000030,PROD-00139822,MAT-007,848.0,113.47,2025-10-12
USE-00000031,PROD-00235012,MAT-002,553.49,488.64,2024-09-16
USE-00000032,PROD-00043360,MAT-002,969.46,80.24,2026-04-28
USE-00000033,PROD-00127703,MAT-004,581.0,402.58,2024-11-06
USE-00000034,PROD-00100108,MAT-009,36.63,84.53,2024-10-19
USE-00000035,PROD-00049578,MAT-008,100.72,279.84,2024-10-13
USE-00000036,PROD-00233282,MAT-003,274.83,462.41,2025-11-26
USE-00000037,PROD-00069489,MAT-008,658.16,200.74,2026-05-21
USE-00000038,PROD-00290185,MAT-007,669.18,460.76,2025-07-03
USE-00000039,PROD-00265015,MAT-003,983.72,451.41,2025-04-04
USE-00000040,PROD-00283984,MAT-005,746.02,150.78,2026-05-02
USE-00000041,PROD-00263126,MAT-006,882.9,364.55,2025-04-15
USE-00000042,PROD-00269560,MAT-005,384.51,483.29,2024-09-16
USE-00000043,PROD-00198293,MAT-006,711.82,166.47,2024-10-18
USE-00000044,PROD-00199736,MAT-001,787.13,310.29,2026-07-11
USE-00000045,PROD-00158618,MAT-002,584.4,148.87,2025-05-26
USE-00000046,PROD-00272935,MAT-009,33.21,200.11,2025-11-15
USE-00000047,PROD-00047976,MAT-009,422.01,210.46,2026-08-22
USE-00000048,PROD-00281860,MAT-004,996.99,333.7,2025-11-18
USE-00000049,PROD-00098701,MAT-004,401.05,478.42,2025-12-08
USE-00000050,PROD-00118723,MAT-010,512.28,364.29,2025-11-28
USE-00000051,PROD-00029217,MAT-002,794.77,264.48,2026-05-22
USE-00000052,PROD-00207953,MAT-003,805.18,123.82,2025-12-27
USE-00000053,PROD-00077671,MAT-008,52.06,117.33,2025-07-30
USE-00000054,PROD-00055305,MAT-007,522.08,138.99,2026-05-19
USE-00000055,PROD-00297428,MAT-004,552.73,144.65,2026-07-15
USE-00000056,PROD-00107818,MAT-005,288.39,277.55,2024-12-19
USE-00000057,PROD-00191974,MAT-003,38.15,450.11,2026-04-02
USE-00000058,PROD-00180536,MAT-007,666.88,428.73,2024-12-25
USE-00000059,PROD-00236456,MAT-007,88.3,436.89,2024-11-22
USE-00000060,PROD-00284999,MAT-005,473.16,198.52,2025-05-11
USE-00000061,PROD-00270645,MAT-007,710.19,147.28,2025-08-16
USE-00000062,PROD-00080136,MAT-006,280.14,433.17,2026-05-31
USE-00000063,PROD-00097097,MAT-004,800.83,360.23,2026-03-16
USE-00000064,PROD-00056887,MAT-002,225.42,367.69,2025-08-02
