order_item_id,order_id,product_id,quantity,unit_price,discount,line_amount
ITEM-00000001,ORD-00018685,PRD-007,68,180,0.1,12240
ITEM-00000002,ORD-00064411,PRD-008,324,400,0.0,129600
ITEM-00000003,ORD-00036473,PRD-008,379,400,0.14,151600
ITEM-00000004,ORD-00065389,PRD-009,26,700,0.01,18200
ITEM-00000005,ORD-00093597,PRD-002,19,90,0.06,1710
ITEM-00000006,ORD-00049338,PRD-004,28,450,0.1,12600
ITEM-00000007,ORD-00003789,PRD-005,426,60,0.03,25560
ITEM-00000008,ORD-00090809,PRD-005,302,60,0.11,18120
ITEM-00000009,ORD-00056958,PRD-009,376,700,0.11,263200
ITEM-00000010,ORD-00038713,PRD-006,265,250,0.15,66250
ITEM-00000011,ORD-00036614,PRD-005,370,60,0.04,22200
ITEM-00000012,ORD-00039867,PRD-004,257,450,0.13,115650
ITEM-00000013,ORD-00018763,PRD-006,465,250,0.12,116250
ITEM-00000014,ORD-00002588,PRD-001,414,120,0.02,49680
ITEM-00000015,ORD-00006233,PRD-005,57,60,0.05,3420
ITEM-00000016,ORD-00082767,PRD-007,341,180,0.02,61380
ITEM-00000017,ORD-00009215,PRD-005,395,60,0.14,23700
ITEM-00000018,ORD-00057798,PRD-001,293,120,0.01,35160
ITEM-00000019,ORD-00038663,PRD-003,195,850,0.06,165750
ITEM-00000020,ORD-00087341,PRD-006,491,250,0.12,122750
ITEM-00000021,ORD-00082116,PRD-003,431,850,0.04,366350
ITEM-00000022,ORD-00072135,PRD-004,227,450,0.14,102150
ITEM-00000023,ORD-00000779,PRD-010,487,150,0.11,73050
ITEM-00000024,ORD-00089254,PRD-002,264,90,0.07,23760
ITEM-00000025,ORD-00041341,PRD-001,197,120,0.03,23640
ITEM-00000026,ORD-00016123,PRD-002,382,90,0.03,34380
ITEM-00000027,ORD-00054035,PRD-005,79,60,0.03,4740
ITEM-00000028,ORD-00081022,PRD-003,193,850,0.12,164050
ITEM-00000029,ORD-00066635,PRD-008,187,400,0.06,74800
ITEM-00000030,ORD-00012651,PRD-009,41,700,0.03,28700
ITEM-00000031,ORD-00038933,PRD-004,128,450,0.07,57600
ITEM-00000032,ORD-00003103,PRD-002,316,90,0.1,28440
ITEM-00000033,ORD-00049586,PRD-004,378,450,0.08,170100
ITEM-00000034,ORD-00056225,PRD-003,4,850,0.05,3400
ITEM-00000035,ORD-00031544,PRD-006,491,250,0.04,122750
ITEM-00000036,ORD-00020624,PRD-004,474,450,0.06,213300
ITEM-00000037,ORD-00008293,PRD-004,242,450,0.02,108900
ITEM-00000038,ORD-00075123,PRD-008,205,400,0.12,82000
ITEM-00000039,ORD-00092066,PRD-001,238,120,0.12,28560
ITEM-00000040,ORD-00093988,PRD-001,333,120,0.01,39960
ITEM-00000041,ORD-00064206,PRD-008,207,400,0.06,82800
ITEM-00000042,ORD-00022501,PRD-001,408,120,0.07,48960
ITEM-00000043,ORD-00071785,PRD-007,123,180,0.03,22140
ITEM-00000044,ORD-00093318,PRD-004,355,450,0.06,159750
ITEM-00000045,ORD-00011907,PRD-009,192,700,0.06,134400
ITEM-00000046,ORD-00069202,PRD-003,21,850,0.09,17850
ITEM-00000047,ORD-00003735,PRD-001,27,120,0.01,3240
ITEM-00000048,ORD-00018833,PRD-001,428,120,0.12,51360
ITEM-00000049,ORD-00022589,PRD-009,26,700,0.05,18200
ITEM-00000050,ORD-00055808,PRD-006,177,250,0.09,44250
ITEM-00000051,ORD-00077859,PRD-010,119,150,0.13,17850
ITEM-00000052,ORD-00045557,PRD-006,329,250,0.07,82250
ITEM-00000053,ORD-00020197,PRD-005,340,60,0.1,20400
ITEM-00000054,ORD-00026432,PRD-001,312,120,0.13,37440
ITEM-00000055,ORD-00036534,PRD-004,291,450,0.04,130950
ITEM-00000056,ORD-00071452,PRD-002,231,90,0.06,20790
ITEM-00000057,ORD-00046049,PRD-005,349,60,0.06,20940
ITEM-00000058,ORD-00087129,PRD-008,340,400,0.0,136000
ITEM-00000059,ORD-00087153,PRD-002,109,90,0.06,9810
ITEM-00000060,ORD-00011408,PRD-001,14,120,0.07,1680
ITEM-00000061,ORD-00024811,PRD-005,343,60,0.09,20580
ITEM-00000062,ORD-00073790,PRD-010,75,150,0.05,11250
ITEM-00000063,ORD-00010180,PRD-007,43,180,0.12,7740
ITEM-00000064,ORD-00061179,PRD-008,9,400,0.11,3600
ITEM-00000065,ORD-00016165,PRD-009,8,700,0.03,5600
ITEM-00000066,ORD-00067811,PRD-003,117,850,0.11,99450
ITEM-00000067,ORD-00009135,PRD-007,126,180,0.03,22680
ITEM-00000068,ORD-00036997,PRD-009,317,700,0.01,221900
ITEM-00000069,ORD-00098162,PRD-010,400,150,0.1,60000
ITEM-00000070,ORD-00080434,PRD-006,359,250,0.06,89750
ITEM-00000071,ORD-00069509,PRD-008,121,400,0.09,48400
ITEM-00000072,ORD-00034134,PRD-001,376,120,0.12,45120
ITEM-00000073,ORD-00025339,PRD-003,151,850,0.15,128350
ITEM-00000074,ORD-00068891,PRD-010,262,150,0.01,39300
ITEM-00000075,ORD-00011712,PRD-001,414,120,0.03,49680
ITEM-00000076,ORD-00087730,PRD-010,2,150,0.11,300
ITEM-00000077,ORD-00029832,PRD-006,467,250,0.07,116750
ITEM-00000078,ORD-00028684,PRD-006,52,250,0.15,13000
ITEM-00000079,ORD-00062516,PRD-006,70,250,0.05,17500
ITEM-00000080,ORD-00051839,PRD-001,184,120,0.01,22080
ITEM-00000081,ORD-00044773,PRD-005,21,60,0.08,1260
ITEM-00000082,ORD-00060279,PRD-003,365,850,0.07,310250
ITEM-00000083,ORD-00038296,PRD-003,497,850,0.1,422450
ITEM-00000084,ORD-00002329,PRD-010,339,150,0.07,50850
ITEM-00000085,ORD-00059260,PRD-005,258,60,0.08,15480
ITEM-00000086,ORD-00063093,PRD-001,183,120,0.09,21960
ITEM-00000087,ORD-00013329,PRD-001,443,120,0.11,53160
ITEM-00000088,ORD-00022598,PRD-004,406,450,0.05,182700
ITEM-00000089,ORD-00047986,PRD-009,401,700,0.13,280700
ITEM-00000090,ORD-00052134,PRD-007,420,180,0.09,75600
ITEM-00000091,ORD-00075346,PRD-009,441,700,0.11,308700
ITEM-00000092,ORD-00038682,PRD-007,174,180,0.06,31320
ITEM-00000093,ORD-00040663,PRD-003,184,850,0.1,156400
ITEM-00000094,ORD-00075287,PRD-006,98,250,0.03,24500
ITEM-00000095,ORD-00079875,PRD-005,169,60,0.12,10140
ITEM-00000096,ORD-00031000,PRD-002,131,90,0.06,11790
ITEM-00000097,ORD-00068843,PRD-009,488,700,0.02,341600
ITEM-00000098,ORD-00097923,PRD-009,126,700,0.05,88200
ITEM-00000099,ORD-00020681,PRD-004,342,450,0.11,153900
ITEM-00000100,ORD-00004374,PRD-006,172,250,0.08,43000
ITEM-00000101,ORD-00059194,PRD-009,346,700,0.02,242200
ITEM-00000102,ORD-00035955,PRD-001,464,120,0.02,55680
ITEM-00000103,ORD-00008379,PRD-005,60,60,0.13,3600
ITEM-00000104,ORD-00000057,PRD-008,60,400,0.09,24000
ITEM-00000105,ORD-00077446,PRD-003,199,850,0.07,169150
ITEM-00000106,ORD-00059977,PRD-001,223,120,0.15,26760
ITEM-00000107,ORD-00060639,PRD-007,9,180,0.06,1620
ITEM-00000108,ORD-00009903,PRD-002,356,90,0.13,32040
ITEM-00000109,ORD-00092737,PRD-004,181,450,0.14,81450
ITEM-00000110,ORD-00030975,PRD-005,290,60,0.06,17400
ITEM-00000111,ORD-00047372,PRD-003,355,850,0.15,301750
ITEM-00000112,ORD-00032156,PRD-008,438,400,0.09,175200
ITEM-00000113,ORD-00006161,PRD-002,178,90,0.06,16020
ITEM-00000114,ORD-00059483,PRD-010,249,150,0.12,37350
ITEM-00000115,ORD-00095065,PRD-003,171,850,0.06,145350
ITEM-00000116,ORD-00083237,PRD-007,148,180,0.07,26640
ITEM-00000117,ORD-00089971,PRD-004,87,450,0.05,39150
ITEM-00000118,ORD-00051752,PRD-009,111,700,0.08,77700
ITEM-00000119,ORD-00091123,PRD-005,492,60,0.02,29520
ITEM-00000120,ORD-00085492,PRD-001,185,120,0.01,22200
ITEM-00000121,ORD-00051769,PRD-008,367,400,0.08,146800
ITEM-00000122,ORD-00080472,PRD-005,436,60,0.12,26160
ITEM-00000123,ORD-00074218,PRD-004,171,450,0.03,76950
ITEM-00000124,ORD-00076084,PRD-007,137,180,0.05,24660
ITEM-00000125,ORD-00022156,PRD-007,307,180,0.05,55260
ITEM-00000126,ORD-00006948,PRD-010,154,150,0.07,23100
ITEM-00000127,ORD-00032588,PRD-007,180,180,0.06,32400
ITEM-00000128,ORD-00020203,PRD-007,22,180,0.13,3960
