order_id,customer_id,order_date,required_date,sales_channel,order_status,payment_status
ORD-00000001,CUST-003912,2025-06-17,2025-06-17,Distributor,Completed,Partial
ORD-00000002,CUST-003127,2025-01-11,2025-01-11,Direct,Completed,Pending
ORD-00000003,CUST-001622,2025-11-19,2025-11-19,Online,Cancelled,Paid
ORD-00000004,CUST-000662,2026-01-11,2026-01-11,Retail,Completed,Pending
ORD-00000005,CUST-002521,2025-07-21,2025-07-21,Direct,Completed,Pending
ORD-00000006,CUST-004100,2024-09-18,2024-09-18,Online,Completed,Pending
ORD-00000007,CUST-002152,2024-12-18,2024-12-18,Distributor,Completed,Pending
ORD-00000008,CUST-004604,2024-12-02,2024-12-02,Online,Cancelled,Paid
ORD-00000009,CUST-001922,2025-11-11,2025-11-11,Retail,Completed,Paid
ORD-00000010,CUST-004135,2026-04-18,2026-04-18,Retail,Completed,Paid
ORD-00000011,CUST-001158,2025-06-05,2025-06-05,Online,Completed,Paid
ORD-00000012,CUST-003363,2024-10-08,2024-10-08,Online,Completed,Paid
ORD-00000013,CUST-000453,2025-07-07,2025-07-07,Direct,Completed,Paid
ORD-00000014,CUST-003948,2024-11-28,2024-11-28,Online,Pending,Pending
ORD-00000015,CUST-003147,2025-03-28,2025-03-28,Direct,Completed,Partial
ORD-00000016,CUST-002522,2026-03-30,2026-03-30,Retail,Completed,Paid
ORD-00000017,CUST-001010,2024-09-28,2024-09-28,Online,Completed,Paid
ORD-00000018,CUST-001249,2025-07-21,2025-07-21,Online,Completed,Paid
ORD-00000019,CUST-000400,2025-04-26,2025-04-26,Direct,Completed,Paid
ORD-00000020,CUST-002425,2025-04-28,2025-04-28,Retail,Pending,Paid
ORD-00000021,CUST-000913,2026-02-09,2026-02-09,Distributor,Completed,Paid
ORD-00000022,CUST-003284,2025-04-09,2025-04-09,Distributor,Cancelled,Paid
ORD-00000023,CUST-000835,2025-04-22,2025-04-22,Online,Completed,Partial
ORD-00000024,CUST-001525,2025-05-24,2025-05-24,Direct,Completed,Paid
ORD-00000025,CUST-004614,2026-06-22,2026-06-22,Retail,Completed,Paid
ORD-00000026,CUST-000538,2025-09-30,2025-09-30,Direct,Pending,Pending
ORD-00000027,CUST-000800,2025-08-12,2025-08-12,Distributor,Cancelled,Paid
ORD-00000028,CUST-003353,2025-04-29,2025-04-29,Direct,Pending,Paid
ORD-00000029,CUST-002867,2024-10-11,2024-10-11,Retail,Completed,Pending
ORD-00000030,CUST-002495,2025-07-23,2025-07-23,Direct,Cancelled,Paid
ORD-00000031,CUST-001850,2025-05-11,2025-05-11,Online,Completed,Pending
ORD-00000032,CUST-004145,2024-11-06,2024-11-06,Online,Cancelled,Partial
ORD-00000033,CUST-002404,2026-07-24,2026-07-24,Retail,Completed,Pending
ORD-00000034,CUST-000626,2026-08-14,2026-08-14,Distributor,Completed,Partial
ORD-00000035,CUST-000483,2026-04-19,2026-04-19,Online,Completed,Paid
ORD-00000036,CUST-003406,2025-09-28,2025-09-28,Direct,Pending,Paid
ORD-00000037,CUST-002968,2025-04-21,2025-04-21,Distributor,Cancelled,Partial
ORD-00000038,CUST-004084,2025-08-01,2025-08-01,Direct,Pending,Partial
ORD-00000039,CUST-000616,2026-03-14,2026-03-14,Online,Pending,Pending
ORD-00000040,CUST-000702,2025-03-25,2025-03-25,Distributor,Cancelled,Pending
ORD-00000041,CUST-004136,2025-10-10,2025-10-10,Direct,Cancelled,Paid
ORD-00000042,CUST-002375,2025-07-02,2025-07-02,Online,Pending,Partial
ORD-00000043,CUST-002475,2026-05-13,2026-05-13,Direct,Pending,Paid
ORD-00000044,CUST-002108,2025-03-13,2025-03-13,Distributor,Cancelled,Pending
ORD-00000045,CUST-000499,2025-09-15,2025-09-15,Distributor,Pending,Paid
ORD-00000046,CUST-001557,2025-03-10,2025-03-10,Online,Completed,Partial
ORD-00000047,CUST-001887,2025-11-30,2025-11-30,Distributor,Completed,Paid
ORD-00000048,CUST-003704,2025-06-20,2025-06-20,Distributor,Pending,Paid
ORD-00000049,CUST-000795,2026-01-28,2026-01-28,Online,Pending,Pending
ORD-00000050,CUST-001725,2025-06-03,2025-06-03,Distributor,Pending,Paid
ORD-00000051,CUST-000277,2026-07-27,2026-07-27,Retail,Completed,Paid
ORD-00000052,CUST-002372,2024-10-19,2024-10-19,Retail,Cancelled,Pending
ORD-00000053,CUST-001023,2025-01-25,2025-01-25,Direct,Completed,Paid
ORD-00000054,CUST-000127,2026-01-15,2026-01-15,Direct,Completed,Pending
ORD-00000055,CUST-004813,2025-10-22,2025-10-22,Online,Completed,Paid
ORD-00000056,CUST-003459,2025-11-23,2025-11-23,Online,Completed,Paid
ORD-00000057,CUST-004139,2026-01-05,2026-01-05,Distributor,Cancelled,Paid
ORD-00000058,CUST-003401,2024-12-29,2024-12-29,Retail,Completed,Pending
ORD-00000059,CUST-000392,2026-05-31,2026-05-31,Direct,Cancelled,Paid
ORD-00000060,CUST-001016,2025-08-18,2025-08-18,Retail,Completed,Pending
ORD-00000061,CUST-003657,2025-04-27,2025-04-27,Distributor,Completed,Pending
ORD-00000062,CUST-003579,2026-07-04,2026-07-04,Retail,Pending,Pending
ORD-00000063,CUST-001262,2025-05-03,2025-05-03,Online,Completed,Partial
ORD-00000064,CUST-001081,2024-12-12,2024-12-12,Retail,Completed,Partial
ORD-00000065,CUST-000720,2024-10-20,2024-10-20,Distributor,Completed,Paid
ORD-00000066,CUST-001722,2025-03-22,2025-03-22,Direct,Completed,Pending
ORD-00000067,CUST-004086,2026-04-15,2026-04-15,Direct,Cancelled,Pending
ORD-00000068,CUST-003302,2025-08-14,2025-08-14,Online,Cancelled,Paid
ORD-00000069,CUST-002352,2025-05-31,2025-05-31,Direct,Completed,Paid
ORD-00000070,CUST-002305,2024-12-07,2024-12-07,Online,Completed,Paid
ORD-00000071,CUST-001255,2026-03-11,2026-03-11,Distributor,Completed,Paid
ORD-00000072,CUST-004837,2024-10-01,2024-10-01,Direct,Pending,Partial
ORD-00000073,CUST-000106,2025-06-10,2025-06-10,Online,Completed,Pending
ORD-00000074,CUST-003662,2025-08-21,2025-08-21,Retail,Completed,Pending
ORD-00000075,CUST-004950,2024-11-12,2024-11-12,Online,Completed,Partial
ORD-00000076,CUST-001151,2025-04-07,2025-04-07,Direct,Completed,Paid
ORD-00000077,CUST-003372,2026-07-18,2026-07-18,Retail,Cancelled,Pending
ORD-00000078,CUST-001718,2024-11-02,2024-11-02,Online,Pending,Paid
ORD-00000079,CUST-004348,2025-08-01,2025-08-01,Direct,Completed,Pending
ORD-00000080,CUST-004647,2026-02-18,2026-02-18,Direct,Completed,Paid
ORD-00000081,CUST-001894,2024-09-17,2024-09-17,Retail,Pending,Pending
ORD-00000082,CUST-004912,2024-12-26,2024-12-26,Direct,Completed,Partial
ORD-00000083,CUST-004449,2024-11-28,2024-11-28,Online,Completed,Partial
ORD-00000084,CUST-001486,2026-07-27,2026-07-27,Distributor,Completed,Partial
ORD-00000085,CUST-002897,2025-09-28,2025-09-28,Retail,Completed,Paid
ORD-00000086,CUST-003242,2025-01-14,2025-01-14,Direct,Completed,Partial
ORD-00000087,CUST-004053,2026-01-03,2026-01-03,Distributor,Completed,Partial
ORD-00000088,CUST-000767,2024-12-03,2024-12-03,Distributor,Cancelled,Partial
ORD-00000089,CUST-003368,2025-02-28,2025-02-28,Retail,Pending,Partial
ORD-00000090,CUST-002858,2025-05-16,2025-05-16,Online,Cancelled,Pending
