production_id,production_date,batch_id,product_id,production_line,machine_id,operator_id,shift,planned_quantity,produced_quantity,good_quantity,defective_quantity,downtime_minutes,production_time_minutes,material_cost,labor_cost,energy_cost,quality_status,maintenance_required
PROD-00000001,2024-09-06,BATCH-00000001,PRD-007,LINE-05,M-017,EMP-00334,Morning,2716,2564,2556,8,120,316,178959.97,7938.81,2758.84,Passed,False
PROD-00000002,2024-09-25,BATCH-00000002,PRD-003,LINE-03,M-003,EMP-00081,Night,2908,2867,2745,122,173,543,1136353.93,2344.27,5893.16,Passed,False
PROD-00000003,2024-12-24,BATCH-00000003,PRD-009,LINE-01,M-019,EMP-00225,Night,533,482,465,17,99,336,172984.82,14553.18,6053.54,Passed,True
PROD-00000004,2026-05-20,BATCH-00000004,PRD-002,LINE-05,M-006,EMP-00363,Afternoon,2596,2367,2293,74,105,396,90014.55,14389.33,7518.43,Passed,False
PROD-00000005,2026-04-28,BATCH-00000005,PRD-002,LINE-03,M-019,EMP-00347,Morning,693,593,588,5,107,514,27188.78,6708.95,1585.54,Passed,False
PROD-00000006,2026-01-10,BATCH-00000006,PRD-007,LINE-02,M-004,EMP-00302,Night,2164,2152,2128,24,128,560,139595.11,7426.47,6383.43,Passed,True
PROD-00000007,2024-11-10,BATCH-00000007,PRD-006,LINE-02,M-020,EMP-00393,Morning,1613,1579,1485,94,97,312,149368.4,6418.25,2603.6,Failed,False
PROD-00000008,2026-08-08,BATCH-00000008,PRD-005,LINE-01,M-012,EMP-00158,Afternoon,1500,1353,1342,11,164,464,35400.25,3493.05,4820.46,Passed,False
PROD-00000009,2026-03-16,BATCH-00000009,PRD-001,LINE-03,M-010,EMP-00174,Afternoon,2772,2633,2595,38,13,543,110738.74,4857.74,5288.67,Passed,False
PROD-00000010,2026-07-23,BATCH-00000010,PRD-004,LINE-03,M-004,EMP-00420,Afternoon,664,435,419,16,60,480,84537.45,13982.59,8474.27,Passed,False
PROD-00000011,2026-04-25,BATCH-00000011,PRD-001,LINE-02,M-008,EMP-00406,Morning,2971,2737,2734,3,146,527,118708.16,8273.11,1240.34,Passed,False
PROD-00000012,2026-06-30,BATCH-00000012,PRD-008,LINE-01,M-020,EMP-00368,Afternoon,2322,2256,2037,219,154,327,349720.57,6625.37,9773.08,Failed,False
PROD-00000013,2026-06-05,BATCH-00000013,PRD-002,LINE-01,M-017,EMP-00157,Night,1210,1173,1141,32,15,433,37766.05,14274.18,8551.95,Passed,False
PROD-00000014,2026-02-08,BATCH-00000014,PRD-006,LINE-05,M-017,EMP-00371,Night,2329,2229,2075,154,116,586,219769.99,12942.69,9443.52,Failed,False
PROD-00000015,2026-04-09,BATCH-00000015,PRD-002,LINE-02,M-014,EMP-00364,Morning,1002,853,812,41,91,447,34694.0,12239.31,4541.42,Passed,False
PROD-00000016,2026-08-01,BATCH-00000016,PRD-006,LINE-03,M-016,EMP-00177,Afternoon,2219,2173,2114,59,122,403,225734.13,8574.31,2726.47,Passed,False
PROD-00000017,2026-04-06,BATCH-00000017,PRD-009,LINE-05,M-015,EMP-00366,Night,1401,1221,1214,7,111,486,356026.51,13383.97,9245.66,Passed,False
PROD-00000018,2025-11-03,BATCH-00000018,PRD-010,LINE-04,M-001,EMP-00042,Afternoon,1291,1229,1157,72,118,366,89769.43,10650.44,8221.44,Failed,True
PROD-00000019,2025-07-01,BATCH-00000019,PRD-002,LINE-05,M-013,EMP-00193,Morning,557,505,504,1,7,407,17669.08,3229.53,1330.14,Passed,False
PROD-00000020,2026-04-12,BATCH-00000020,PRD-003,LINE-05,M-020,EMP-00357,Afternoon,581,569,527,42,178,381,212787.08,12002.84,5457.1,Failed,True
PROD-00000021,2025-03-31,BATCH-00000021,PRD-010,LINE-02,M-019,EMP-00423,Night,2064,1944,1823,121,21,351,136713.87,11376.21,4086.66,Failed,False
PROD-00000022,2025-01-08,BATCH-00000022,PRD-004,LINE-05,M-017,EMP-00360,Afternoon,2657,2566,2472,94,98,422,599266.03,8510.04,2230.88,Passed,True
PROD-00000023,2025-02-05,BATCH-00000023,PRD-004,LINE-04,M-018,EMP-00329,Night,2349,2103,1927,176,155,307,385688.82,4365.19,2333.82,Failed,False
PROD-00000024,2025-07-14,BATCH-00000024,PRD-007,LINE-04,M-006,EMP-00057,Night,1947,1793,1719,74,42,345,166983.95,14999.99,7645.11,Passed,False
