quality_check_id,production_id,inspection_date,inspector_id,units_inspected,defective_units,defect_type,result
QC-00000001,PROD-00253007,2026-07-03,EMP-00159,1737,144,None,Failed
QC-00000002,PROD-00271728,2025-05-31,EMP-00118,1070,86,Assembly,Failed
QC-00000003,PROD-00064759,2026-03-30,EMP-00358,618,50,Dimensional,Failed
QC-00000004,PROD-00034635,2026-07-20,EMP-00199,2055,60,Dimensional,Passed
QC-00000005,PROD-00220325,2026-06-25,EMP-00090,1317,86,Assembly,Failed
QC-00000006,PROD-00030923,2025-10-12,EMP-00423,1379,77,Surface,Failed
QC-00000007,PROD-00165881,2025-06-10,EMP-00319,1829,155,None,Failed
QC-00000008,PROD-00239034,2025-07-01,EMP-00203,1029,44,None,Passed
QC-00000009,PROD-00258263,2026-04-08,EMP-00374,2507,168,Assembly,Failed
QC-00000010,PROD-00164530,2025-04-05,EMP-00490,835,49,Assembly,Failed
QC-00000011,PROD-00243579,2025-02-18,EMP-00417,1526,147,None,Failed
QC-00000012,PROD-00057454,2025-03-17,EMP-00285,2383,107,Surface,Passed
QC-00000013,PROD-00002506,2026-01-07,EMP-00332,2310,152,Dimensional,Failed
QC-00000014,PROD-00186221,2026-06-29,EMP-00314,2456,29,Assembly,Passed
QC-00000015,PROD-00204745,2025-02-12,EMP-00111,1070,27,Assembly,Passed
QC-00000016,PROD-00102544,2024-11-04,EMP-00451,1705,152,Material,Failed
QC-00000017,PROD-00194282,2025-11-13,EMP-00253,791,20,Material,Passed
QC-00000018,PROD-00076537,2024-10-19,EMP-00039,917,66,Dimensional,Failed
QC-00000019,PROD-00114886,2026-02-09,EMP-00052,677,15,Material,Passed
QC-00000020,PROD-00133320,2026-04-20,EMP-00284,1042,26,Assembly,Passed
QC-00000021,PROD-00204778,2024-10-23,EMP-00451,1690,75,Assembly,Passed
QC-00000022,PROD-00269701,2024-11-15,EMP-00232,1561,32,Material,Passed
QC-00000023,PROD-00065532,2025-09-21,EMP-00301,1691,45,None,Passed
QC-00000024,PROD-00130018,2025-03-04,EMP-00425,1525,64,Material,Passed
QC-00000025,PROD-00237986,2026-05-02,EMP-00409,2151,53,Material,Passed
QC-00000026,PROD-00092824,2025-06-02,EMP-00324,2329,125,Dimensional,Failed
QC-00000027,PROD-00168611,2024-09-28,EMP-00255,1017,83,Surface,Failed
QC-00000028,PROD-00295473,2026-03-13,EMP-00135,2830,200,Material,Failed
QC-00000029,PROD-00195012,2024-12-18,EMP-00163,1636,107,None,Failed
QC-00000030,PROD-00264998,2025-02-19,EMP-00411,2897,49,Surface,Passed
QC-00000031,PROD-00241473,2026-01-07,EMP-00024,1898,121,Material,Failed
QC-00000032,PROD-00189456,2025-02-12,EMP-00346,1607,137,Surface,Failed
QC-00000033,PROD-00190186,2026-07-02,EMP-00426,2949,207,Material,Failed
QC-00000034,PROD-00220321,2025-05-30,EMP-00456,2737,35,Surface,Passed
QC-00000035,PROD-00099999,2024-09-04,EMP-00466,2702,78,None,Passed
QC-00000036,PROD-00047157,2025-04-23,EMP-00456,2843,61,None,Passed
QC-00000037,PROD-00070684,2024-09-21,EMP-00392,2794,159,Material,Failed
QC-00000038,PROD-00231220,2024-12-04,EMP-00291,2473,167,Assembly,Failed
QC-00000039,PROD-00298019,2025-01-28,EMP-00040,2057,179,None,Failed
QC-00000040,PROD-00000305,2025-08-31,EMP-00339,1484,56,Dimensional,Passed
QC-00000041,PROD-00176418,2026-06-24,EMP-00084,2771,174,Assembly,Failed
QC-00000042,PROD-00015845,2025-07-17,EMP-00166,1919,47,Dimensional,Passed
QC-00000043,PROD-00199703,2025-12-19,EMP-00075,2238,194,Assembly,Failed
QC-00000044,PROD-00009207,2025-10-29,EMP-00259,1311,61,Surface,Passed
QC-00000045,PROD-00156257,2025-02-20,EMP-00255,2939,93,Surface,Passed
QC-00000046,PROD-00020854,2025-10-10,EMP-00084,1095,16,Surface,Passed
QC-00000047,PROD-00029757,2025-10-09,EMP-00373,2544,161,Material,Failed
QC-00000048,PROD-00243668,2025-04-14,EMP-00338,687,31,Surface,Passed
QC-00000049,PROD-00213057,2026-08-09,EMP-00172,1604,121,Assembly,Failed
QC-00000050,PROD-00153525,2025-08-14,EMP-00301,1381,35,Material,Passed
QC-00000051,PROD-00218723,2025-12-18,EMP-00230,749,2,Surface,Passed
QC-00000052,PROD-00057953,2025-03-17,EMP-00454,2691,244,Dimensional,Failed
QC-00000053,PROD-00214712,2026-05-06,EMP-00070,1770,172,Assembly,Failed
QC-00000054,PROD-00124096,2026-05-05,EMP-00322,1423,124,Assembly,Failed
QC-00000055,PROD-00251010,2025-08-13,EMP-00245,1944,172,Dimensional,Failed
QC-00000056,PROD-00177788,2026-05-05,EMP-00148,2931,3,Assembly,Passed
QC-00000057,PROD-00056762,2025-03-22,EMP-00379,1653,102,Surface,Failed
QC-00000058,PROD-00055863,2025-09-11,EMP-00005,1265,57,Dimensional,Passed
QC-00000059,PROD-00041679,2025-03-28,EMP-00409,767,29,Assembly,Passed
QC-00000060,PROD-00011232,2025-03-04,EMP-00202,1582,137,Surface,Failed
QC-00000061,PROD-00141465,2025-12-25,EMP-00372,2723,38,None,Passed
QC-00000062,PROD-00172466,2025-07-07,EMP-00438,1701,113,None,Failed
QC-00000063,PROD-00016412,2025-09-02,EMP-00462,661,41,Assembly,Failed
QC-00000064,PROD-00107477,2026-01-17,EMP-00107,2331,2,None,Passed
QC-00000065,PROD-00128647,2024-11-07,EMP-00251,2508,116,Dimensional,Passed
QC-00000066,PROD-00185655,2025-09-04,EMP-00113,2637,145,Assembly,Failed
QC-00000067,PROD-00197091,2024-10-24,EMP-00453,1952,67,Surface,Passed
QC-00000068,PROD-00247382,2025-02-17,EMP-00094,1671,82,Material,Passed
QC-00000069,PROD-00183503,2025-11-12,EMP-00072,1832,126,None,Failed
QC-00000070,PROD-00141201,2026-05-18,EMP-00290,550,4,None,Passed
QC-00000071,PROD-00017358,2025-06-26,EMP-00287,1023,26,Surface,Passed
QC-00000072,PROD-00111932,2025-09-06,EMP-00022,2762,159,Surface,Failed
QC-00000073,PROD-00155834,2026-02-25,EMP-00265,2173,136,Material,Failed
QC-00000074,PROD-00294494,2025-04-03,EMP-00340,1837,85,Assembly,Passed
QC-00000075,PROD-00023003,2025-01-28,EMP-00362,1610,2,None,Passed
QC-00000076,PROD-00084074,2025-09-14,EMP-00492,2016,187,Material,Failed
QC-00000077,PROD-00057246,2025-10-15,EMP-00302,917,65,Material,Failed
QC-00000078,PROD-00265213,2025-07-07,EMP-00176,820,12,Dimensional,Passed
QC-00000079,PROD-00166616,2026-03-15,EMP-00397,1413,51,None,Passed
QC-00000080,PROD-00279431,2025-10-05,EMP-00269,2508,56,Assembly,Passed
QC-00000081,PROD-00248442,2025-02-25,EMP-00198,575,7,Material,Passed
QC-00000082,PROD-00148719,2025-10-20,EMP-00442,1545,99,Assembly,Failed
QC-00000083,PROD-00001368,2024-10-26,EMP-00267,1717,114,Material,Failed
QC-00000084,PROD-00262297,2024-09-27,EMP-00181,1913,178,Surface,Failed
QC-00000085,PROD-00110743,2025-05-01,EMP-00246,665,59,Assembly,Failed
QC-00000086,PROD-00256340,2024-10-21,EMP-00265,1387,135,Material,Failed
QC-00000087,PROD-00140739,2025-02-06,EMP-00037,1040,49,Assembly,Passed
QC-00000088,PROD-00228432,2024-12-18,EMP-00285,625,44,Assembly,Failed
QC-00000089,PROD-00227162,2025-11-20,EMP-00099,2817,231,Surface,Failed
QC-00000090,PROD-00112357,2025-09-21,EMP-00294,2381,200,Assembly,Failed
QC-00000091,PROD-00033605,2024-10-05,EMP-00088,2596,102,Assembly,Passed
QC-00000092,PROD-00095430,2026-02-28,EMP-00469,1664,40,Surface,Passed
